# glossary.tsv (UTF-8, tab-delimited)
# source_term	target_pref	pos	context_note	variants_disallowed
King (Dr. King)	キング	npr	氏名。原文 King のまま英語保持も可だが本文では英語+博士。ローカライズ時カタカナにするなら統一。	キング博士（揺れ: King博士）
Locke (Dr. Locke)	ロック	npr	同上。	ロック博士（揺れ）
Hippo (Dr. Hippo)	ヒッポ	npr	愛称。語尾長音なし。	ヒッポー
Kirby (Dr. Kirby)	カービー	npr	長音表記統一。	カービィ
Nicolini (Dr. Nicolini)	ニコリーニ	npr	語尾長音。	ニコリニ
Kain (old Kain)	ケイン	npr	旧知の人物。"老ケイン" とする場合のみ文頭表記。	ケイン
(to) wink	ウィンクする	v	名詞形も同。	片目をつぶる
finger guns	指鉄砲	n	複数でも「指鉄砲」。	指ピストル, ハンドガンジェスチャー
(elevator) door(s)	ドア	n	複数でも「ドア」。	扉
(elevator) motor	モーター	n	漢字不可。	エンジン
(flicker) lights	照明が明滅する	vph	"点滅する" より雰囲気優先で明滅。	点滅する
(severed) head	生首	n	文脈で severed を明示せずニュアンス保持。	切断された頭
branch (tree / metaphor)	枝	n	比喩でも「枝」。	枝木
serpent / snake	蛇	n	両語統一「蛇」。	ヘビ
blood	血	n	出血表現も「血」。	血液
pain (proper noun Pain)	『痛み』	npr	固有概念。鉤括弧または全角『』で強調。	痛み（括弧なし）
Narrative Turbulence	物語的擾乱	n	ネクサス内で確率/因果ゆらぎが高まった状態。	物語乱流    ナラティブ乱流
Law of Narrative Causality	物語因果律	npr	SCP-001 I.H.P. 参照の概念法則。英語原綴り併記不要。	ナラティブ因果律
Micro-Nexus	マイクロ・ネクサス	n	総面積300㎡未満でAOV上昇する局所ネクサス。中黒必須。	マイクロネクサス
Anomaly Occurrence Value (AOV)	異常発生値（AOV）	n	異常イベント平均発生頻度指標。略称 AOV 併記。	異常発生値, AOVのみ
Nexus Zone	ネクサス領域	n	Foundation 指定の異常集中地域。単独 Nexus は「ネクサス」。	ネクサスゾーン
Nexus	ネクサス	n	異常集中点/領域。英語表記保持しない。	Nexus, ﾈｸｻｽ
Sloth's Pit	スロース・ピット	npr	ウィスコンシン州所在ネクサス Nx-18。撥音/促音を省かない。	スロースピット
Chapman Orchards	チャップマン果樹園	npr	SCP-4683 原産果樹園名称。英語保持不要。	チャップマンオーチャード
Golden Delicious	ゴールデンデリシャス	n	リンゴ品種名。語頭大文字不要。語尾長音なし。	ゴールデン・デリシャス
The Union	労働組合	npr	異常技能労働者組織。	ユニオン ザ・ユニオン
Apple Crisp Crisis	アップル・クリスプ危機	npr	SCP-4683 関連インシデント名称。中黒統一。	アップルクリスプ危機
Heimlich maneuver	ハイムリック法	n	応急処置法。カタカナ+法で統一。	ハイムリックマヌーバ
cider	シードル	n	発酵リンゴ酒。"apple cider" も同訳。	サイダー
apple juice	リンゴジュース	n	非発酵飲料。語順保持。	アップルジュース
Narrator	"ナレーター"	n	固有役割称。初出で (Narrator) 併記可。	ナレーター（ダブルクオートなし） 語り手
Complex Apartment	複合アパート	npr	Nx-92 名称。英語併記不要。	コンプレックスアパート
Apple variety (generic mention)	リンゴ品種	n	固有名はカタカナ（例: ゴールデンデリシャス）+本文指針参照。	品種, りんご品種
AOV	AOV	n	略称。展開形は「異常発生値（AOV）」参照。	ＡＯＶ
# End of file
